Player,G,MP,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Darius Garland,5,37.8,.513,.840,0.0,1.8,1.8,5.0,1.6,0.2,3.6,20.6,garlada01
Rudy Gobert,5,35.4,.630,.630,3.6,8.6,12.2,2.0,0.4,1.0,1.6,15.0,goberru01
Aaron Gordon,20,35.7,.564,.652,2.5,3.6,6.0,2.6,0.6,0.7,1.0,13.3,gordoaa01
Eric Gordon,5,29.8,.523,.833,0.2,1.2,1.4,2.6,0.6,0.4,0.8,10.2,gordoer01
Danny Green,4,10.0,.300,,0.5,1.3,1.8,0.3,0.5,0.3,0.5,0.8,greenda02
Draymond Green,12,30.6,.489,.727,1.6,5.3,6.9,6.8,1.5,1.0,2.3,9.4,greendr01
JaMychal Green,7,7.0,.500,,0.0,0.7,0.7,0.4,0.0,0.1,0.3,3.3,greenja01
Jeff Green,20,17.2,.524,.895,0.3,1.3,1.6,0.7,0.3,0.4,0.5,4.1,greenje02
Blake Griffin,1,6.0,.000,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,griffbl01
Quentin Grimes,9,26.9,.402,.818,0.3,2.4,2.8,1.4,1.0,0.6,1.1,5.1,grimequ01
Rui Hachimura,16,24.3,.630,.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,12.2,hachiru01
James Harden,11,38.8,.478,.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,20.3,hardeja01
Montrezl Harrell,2,3.5,.000,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,harremo01
Joe Harris,4,11.0,.192,1.000,0.0,1.3,1.3,0.0,0.5,0.0,0.8,1.8,harrijo01
Tobias Harris,11,35.6,.578,.867,1.5,5.7,7.3,1.6,0.6,0.5,0.7,15.3,harrito02
Shaquille Harrison,8,3.5,.643,.500,0.0,0.4,0.4,1.1,0.3,0.0,0.0,1.3,harrish01
Josh Hart,11,32.1,.532,.636,1.6,5.7,7.4,2.2,0.8,0.3,1.9,10.4,hartjo01
Isaiah Hartenstein,11,20.0,.478,.750,2.1,2.5,4.6,1.3,0.8,1.4,0.5,3.1,harteis01
Udonis Haslem,2,1.5,.000,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,hasleud01
Sam Hauser,15,6.9,.483,1.000,0.3,0.8,1.1,0.3,0.1,0.1,0.0,2.0,hausesa01
Tyler Herro,1,19.0,.667,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,12.0,herroty01
Haywood Highsmith,18,8.9,.718,.800,0.6,0.8,1.3,0.3,0.6,0.1,0.1,3.3,highsha01
Aaron Holiday,1,4.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,holidaa01
Jrue Holiday,5,38.2,.471,.692,0.8,5.8,6.6,8.0,1.0,0.4,2.4,17.8,holidjr01
Al Horford,20,30.9,.492,.750,1.5,5.7,7.2,3.0,1.1,1.7,0.6,6.7,horfoal01
Danuel House Jr.,7,6.0,.452,1.000,0.0,1.7,1.7,0.1,0.0,0.0,0.1,2.9,houseda01
Kevin Huerter,7,26.1,.403,.750,0.1,4.3,4.4,1.1,0.4,1.3,0.6,9.1,huertke01
De'Andre Hunter,6,37.3,.541,.800,1.2,4.5,5.7,1.2,0.7,0.3,1.5,16.7,huntede01
Bones Hyland,5,16.4,.398,.800,0.2,0.6,0.8,0.8,0.8,0.2,0.8,8.6,hylanbo01
Joe Ingles,5,17.8,.739,,0.2,1.0,1.2,2.0,0.6,0.2,1.2,6.8,inglejo01
Jaren Jackson Jr.,6,36.7,.464,.861,3.3,4.5,7.8,1.5,1.0,2.0,3.0,18.0,jacksja02
